Palabra, Ocurrencias
zounds,0
zone,0
zenith,0
younker,0
yorick,0
yong,0
yond,0
yield,2
yew,0
yet,25
yesternight,0
yesterday,4
yer,0
yeelde,0
yeeld,0
yearning,0
yearned,1
yeare,0
year,34
yawning,1
yawne,0
yaughan,0
yah,0
xxxvii,0
xxxvi,0
xxxv,0
xxxix,0
xxx,0
xxvii,0
xxvi,0
xxix,0
xxii,0
xxi,0
xx,0
xvi,0
xml,2
xlviii,0
xlix,0
xliv,0
xli,0
xl,0
xix,0
xiii,0
www,8
wurku,0
wud,0
wry,0
wrought,1
wronged,0
writing,1
writhe,0
write,11
writ,0
wrist,0
wringing,0
wright,0
wretchedly,0
wretch,0
wrest,0
wreck,0
wrathfully,0
wrath,0
wrapping,0
wrack,0
wounded,0
wound,3
wouldest,0
would,84
worthy,4
worthlessness,0
worthless,1
worthiness,0
worshipp,0
worser,0
worry,0
worried,0
worne,0
worme,0
worldliness,0
world,17
works,1
working,1
woollen,0
wooer,0
wooe,0
wooden,1
woodcocke,0
wood,2
woo,0
wonte,0
wonder,7
wombe,0
womb,0
womanly,0
womanish,0
woman,29
wolvish,0
wolve,0
wold,0
woe,2
wiving,0
wittle,0
wittenberg,0
wittemberge,0
witness,2
witler,0
withdraw,2
withall,0
withal,1
witchcraft,0
wit,1
wistfully,0
wishing,0
wish,18
wiser,2
wisenesse,0
wisdom,1
wis,0
wipe,1
winters,0
winnow,0
winner,0
winne,0
winke,0
wing,4
windows,1
window,21
windmill,0
winding,0
winder,0
winde,0
wind28,1
winch,0
win,1
willingly,1
william,0
wille,0
will,0
wilkins,2
youngest,0
wilds,0
wildness,0
wildely,0
wilde,0
wig,1
wielder,0
widespread,0
wider,0
wicker,1
wickedness,0
wicked,2
whosoever,0
whore,0
whop,0
whomsoever,1
wholsom,0
wholesomely,0
wholesome,0
wholesale,0
whole,13
whither,2
whitewash,0
whitechapel,1
white,13
whit,0
whistling,0
whist,0
whisper,2
whirl,0
whipt,0
whipping,0
whipp,0
whip,0
whining,0
whine,0
whimper,0
whim,1
whilst,0
while,0
whiff,0
whew,0
whether,4
whet,0
wherewith,0
whereto,0
wheresoever,1
whereon,0
wherein,1
whereby,0
whereat,1
whenever,4
whence,3
wheel,3
wheaten,0
wheat,0
whatsoeuer,0
whatever,4
whate,0
what,0
wharfe,0
wether,0
wet,2
west,2
weskut,0
weraday,0
went32,1
went,4
wench,0
welcom,0
weep,1
weeke,0
weede,0
wedge,0
