num_datos,num_threads,tiempo promedio (s),,
20000,1,13.969,,
20000,4,9.635,,
20000,8,9.399,,
20000,16,8.701,,
40000,1,65.12,,
40000,4,59.405,,
40000,8,51.519,,
40000,16,41.97,,
80000,1,397.236,,
80000,4,276.666,,
80000,8,158.878,,
80000,16,239.01,,
120000,1,627.269,,
120000,4,403.159,,
120000,8,389.182,,
120000,16,490.73,,
140000,1,764.279,,
140000,4,485.63,,
140000,8,426.84,,
140000,16,521.505,,
160000,1,991.145,,
160000,4,747.31,,
160000,8,840.201,,
160000,16,1072.12,,
180000,1,2253.36,,
180000,4,922.174,,
180000,8,891.523,,
180000,16,681.733,,
200000,1,1604.8,,
200000,4,1138.52,,
200000,8,1098.2,,
200000,16,884.683,,
